confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	32.7 % of all households were made up of individuals and 15.7	made	of individuals and 15.7 % had someone living alone who was 65 years of age or older			32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .		
1.0	A CEN	forms	an important but small part of a Local Strategic Partnership			A CEN forms an important but small part of a Local Strategic Partnership .		
1.0	A Democrat , he	became	youngest mayor in Pittsburgh 's history in September 2006			A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .		
1.0	A cafeteria	located	on the sixth floor , a chapel on the 14th floor , and a study hall on the			A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .		
1.0	casting director at the time told Scott	wished	that he 'd met him a week before			A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .		
1.0	A casting director at the time	told	at the time told Scott that he had wished that he 'd met him a week before ; he was casting for			A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .		
1.0	A common name , logo , and programming schedule	followed	in 1982			A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .		
1.0	the `` TV8 '' network between the three stations , changed to the `` Southern	changed	in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later			A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .		
1.0	A cooling center is a temporary air-conditioned public space set up by local authorities	set	to deal with the health effects of a heat wave			A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .		
1.0	air-conditioned public space set up by local authorities	deal	with the health effects of a heat wave			A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .		
1.0	A manifold	presented	a connected sum of more than one manifold			A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .		
1.0	A mid-March 2002 court order to stop printing for three months	evaded	by printing under other titles , such as `` Not That			A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .		
1.0	A mid-March 2002 court	stop	March 2002 court order to stop printing for three months			A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .		
1.0	A motorcycle speedway long-track meeting	staged	UK , was staged at Ammanford			A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .		
1.0	A motorcycle speedway long-track meeting	held	in the UK			A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .		
1.0	A partial list of turbomachinery that may	listed	one or more centrifugal compressors within the machine are listed here			A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .		
1.0	A partial list of turbomachinery	use	one or more centrifugal compressors within the machine			A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .		
1.0	NC 111	diverges	A short distance to the east , NC 111 diverges on Greenwood Boulevard			A short distance to the east , NC 111 diverges on Greenwood Boulevard .		
1.0	A spectrum from a single FID	has	a low signal-to-noise ratio			A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .		
1.0	A spectrum from a single FID	improves	readily with averaging of repeated acquisitions			A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .		
1.0	an organization of coin collectors that	told	mark on a dime and was told by an organization of coin collectors that it was genuine			According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .		
1.0	the Samaritan ethnonym	derived	the region of Samaria			According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .		
1.0	the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion	According	Samaritan tradition			According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .		
1.0	the population of the town is 2,310	According	to the 2010 census			According to the 2010 census , the population of the town is 2,310 .		
1.0	many Koreans	became	victims of Japanese brutalities during the colonial period			According to the South Koreans , many Koreans became victims of Japanese brutalities during the colonial period .		
1.0	Gonzalez	defrauding	the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	Gonzalez	accused	of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio	authorized	the motu proprio `` Summorum Pontificum			Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .		
1.0	the French Community of Belgium	begun	controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels			Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .		
1.0	the French Community of Belgium	emphasize	the links between the French Community , Wallonia and Brussels			Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .		
1.0	cable hauling	ceased	After 1895			After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .		
1.0	locomotives	pulled	After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels			After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .		
1.0	the Colonials	found	After five years of searching , the Colonials found a primitive , lush and vibrant new world			After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .		
1.0	the Colonials	named	five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth			After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .		
1.0	Cole	leaving `` Hex '' , Cole went on to appear	After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC			After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .		
1.0	Cole	went	After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and			After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .		
1.0	Cole	guest starred	as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code			After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .		
1.0	Mothra retired to Infant Island , accompanied by the two Cosmos	accompanied	to Infant Island			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	Battra	rested	After the battle , Battra rested in the Arctic Ocean			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	Mothra	retired	After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	many of the republicans	arrested	After this point many of the republicans were arrested in Free State `` round ups			After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .		
1.0	many of the republicans	returned	home			After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .		
1.0	Knievel	broke	his arms			Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .		
1.0	a permanent injury his accident	caused	the cameraman			Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .		
1.0	Hazelwood	came	the invasion untouched			Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .		
1.0	Hazelwood	sank	on the night of 25 February sank two small enemy freighters with her guns			Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .		
1.0	An animal that cares for its young but shows no other sociality traits	said	to be `` subsocial			An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .		
1.0	An animal	cares for its young but shows	its young but shows no other sociality traits			An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .		
1.0	An original limited artist edition of 250	published	in 1989			An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .		
1.0	stainless steel faced boards and digital clock	inset	into the front cover			An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .		
1.0	ABS	formed	a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States			And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .		
1.0	Muhammad ibn Abu Bakr who escorted Aisha	escorted	back to Madina			And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .		
1.0	Andrea Bianco 's atlas of 1436	comprises	ten leaves of vellum , measuring , in an 18th-century binding			Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .		
1.0	Apartment buildings , shops , medical clinics , cinemas etc	built	in close proximity to the MAZ plant , providing plant workers with local necessities			Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .		
1.0	implementations of other OSIDs	use	the service to record detailed data during development , debugging , or analyzing performance			Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .		
1.0	Applications	can use	this service to record activity for a production system			Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .		
1.0	implementations of other OSIDs	can use	the service to record detailed data during development , debugging , or analyzing performance			Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .		
1.0	Applying this technique	facilitates	the connection of the center of the foot with the lower abdomen			Applying this technique facilitates the connection of the center of the foot with the lower abdomen .		
1.0	the team	enshrined	the Basketball Hall of Fame in 1959			As a group , the team was enshrined into the Basketball Hall of Fame in 1959 .		
